question,retrieved_source,top_score,term_hit,answer,grounded,answer_correct
Who rescued Harry from the Dursleys in a flying car?,Harry Potter and the Prisoner of Azkaban p.739; Harry Potter and the Chamber of Secrets p.425; Harry Potter and the Chamber of Secrets p.285; Harry Potter and the Chamber of Secrets p.332,0.378,True,"He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys’ story that he had got his scar in the car crash that had killed his parents. [Harry Potter and the Chamber of Secrets, p. 285] The Dursleys hadn’t even remembered that today happened to be Harry’s twelfth birthday. [Harry Potter and the Chamber of Secrets, p. 285]",True,False
What is a Horcrux?,Harry Potter and the Deathly Hallows p.3062; Harry Potter and the Half-Blood Prince p.2837; Harry Potter and the Half-Blood Prince p.2893; Harry Potter and the Half-Blood Prince p.2841,0.3123,True,"You’ve got to put it beyond magical repair.” “But even if we wreck the thing it lives in,” said Ron, “why can’t the bit of soul in it just go and live in something else?” “Because a Horcrux is the complete opposite of a human being.” [Harry Potter and the Deathly Hallows, p. 3062] The point of a Horcrux is, as Professor Slughorn explained, to keep part of the self hidden and safe, not to fling it into somebody else’s path and run the risk that they might destroy it — as indeed happened: That particular fragment of soul is no more; you saw to that. [Harry Potter and the Half-Blood Prince, p. 2837]",True,True
Who is Sirius Black to Harry?,Harry Potter and the Order of the Phoenix p.1752; Harry Potter and the Order of the Phoenix p.2344; Harry Potter and the Prisoner of Azkaban p.900; Harry Potter and the Goblet of Fire p.1228,0.4618,False,"This too was illustrated by a rather bad cartoon; in fact, Harry would not have known it was supposed to be Sirius if it hadn’t been captioned. [Harry Potter and the Order of the Phoenix, p. 1752] “SIRIUS!” Harry yelled, “SIRIUS!” Harry’s breath was coming in searing gasps. [Harry Potter and the Order of the Phoenix, p. 2344]",True,False
What is the Triwizard Tournament?,Harry Potter and the Goblet of Fire p.1102; Harry Potter and the Goblet of Fire p.1522; Harry Potter and the Deathly Hallows p.3100; Harry Potter and the Prisoner of Azkaban p.836,0.3928,True,"“The Triwizard Tournament was first established some seven hundred years ago as a friendly competition between the three largest European schools of wizardry: Hogwarts, Beauxbatons, and Durmstrang. [Harry Potter and the Goblet of Fire, p. 1102] hrough the Triwizard Tournament without appearing to do so. [Harry Potter and the Goblet of Fire, p. 1522]",True,True
How does Harry first enter Platform Nine and Three-Quarters?,Harry Potter and the Goblet of Fire p.1007; Harry Potter and the Prisoner of Azkaban p.632; Harry Potter and the Deathly Hallows p.3614; Harry Potter and the Deathly Hallows p.3585,0.3468,True,"In a moment, they had fallen sideways through the solid metal onto platform nine and three-quarters and looked up to see the Hogwarts Express, a scarlet steam engine, puffing smoke over a platform packed with witches and wizards seeing their children onto the train. [Harry Potter and the Prisoner of Azkaban, p. 632] Weasley strolled toward the barrier between platforms nine and ten, pushing Harry’s trolley and apparently very interested in the InterCity 125 that had just arrived at platform nine. [Harry Potter and the Prisoner of Azkaban, p. 632]",True,True
What creature is Aragog?,Harry Potter and the Order of the Phoenix p.2174,0.2533,False,"Harry thought, and the worst of it was that he would probably prove an important weapon; his knowledge of the school’s secret passageways and hiding places was probably second only to the Weasley twins. [Harry Potter and the Order of the Phoenix, p. 2174] “Here we are,” he said, leering down at Harry as he rapped three times upon Professor Umbridge’s door and pushed it open. [Harry Potter and the Order of the Phoenix, p. 2174]",True,False
Who is the Half-Blood Prince?,Harry Potter and the Half-Blood Prince p.2697; Harry Potter and the Half-Blood Prince p.2577; Harry Potter and the Half-Blood Prince p.2869; Harry Potter and the Half-Blood Prince p.2697,0.4339,True,"“The Half-Blood Prince is someone who used to go to Hogwarts, I’ve got his old Potions book. [Harry Potter and the Half-Blood Prince, p. 2697] one called the Half-Blood Prince?” “The Half-Blood what?” “Prince,” said Harry, watching him closely for signs of recognition. [Harry Potter and the Half-Blood Prince, p. 2697]",True,False
What does the Marauder Map show?,Harry Potter and the Order of the Phoenix p.1940; Harry Potter and the Goblet of Fire p.1028,0.2801,False,"have you been taking all the clothes Hermione’s been leaving out?” “Oh no, sir,” said Dobby happily, “Dobby has been taking some for Winky too, sir.” “Yeah, how is Winky?” asked Harry. [Harry Potter and the Order of the Phoenix, p. 1940] None of them will clean Gryffindor Tower anymore, not with the hats and socks hidden everywhere, they finds them insulting, sir. [Harry Potter and the Order of the Phoenix, p. 1940]",True,False
Why can Harry speak Parseltongue?,Harry Potter and the Chamber of Secrets p.558; Harry Potter and the Prisoner of Azkaban p.739; Harry Potter and the Prisoner of Azkaban p.782; Harry Potter and the Goblet of Fire p.1199,0.4357,True,".” “You can speak Parseltongue, Harry,” said Dumbledore calmly, “because Lord Voldemort — who is the last remaining descendant of Salazar Slytherin — can speak Parseltongue. [Harry Potter and the Chamber of Secrets, p. 558] “Where’d you get it, Harry?” “Will you let me have a go?” “Have you ridden it yet, Harry?” “Ravenclaw’ll have no chance, they’re all on Cleansweep Sevens!” “Can I just hold it, Harry?” After ten minutes or so, during which the Firebolt was passed around and admired from every angle, the crowd dispersed and Harry and Ron had a clear view of Hermione, the only person who hadn’t rushed over to them, bent over her work and carefully avoiding their eyes. [Harry Potter and the Prisoner of Azkaban, p. 782]",True,True
What are the Deathly Hallows?,Harry Potter and the Deathly Hallows p.3341; Harry Potter and the Deathly Hallows p.3345; Harry Potter and the Deathly Hallows p.3344; Harry Potter and the Deathly Hallows p.3344,0.3007,True,"The Deathly Hallows are real, and I’ve got one — maybe two —” He held up the Snitch. [Harry Potter and the Deathly Hallows, p. 3344] I know the sign of the Deathly Hallows was on that stone! [Harry Potter and the Deathly Hallows, p. 3341]",True,False
